userId,bookId,rating
0,136081.Dearly_Devoted_Dexter,4
0,14865.Vanishing_Acts,1
0,6596080-taming-kate,1
0,15808242-city-of-dark-magic,1
0,497250.Absolute_Boyfriend_Vol_2,3
0,552106.Voluntary_Madness,1
0,9780131-the-lost-heiress,3
0,52766407-today-tonight-tomorrow,1
0,18966819-golden-son,2
0,953320.Classics_of_Horror,2
0,249606.The_Bridge,1
1,15700312-beauty-never-dies,1
1,1193817.Enchantress,1
1,374380.The_Duke_s_Children,5
1,73064.Natural_Born_Charmer,1
1,22825631-our-endless-numbered-days,1
1,110694.The_Seeress_of_Kell,2
1,24819967-soup-recipes,5
1,223797.Love_and_Logic_Magic_for_Early_Childhood,1
1,13316309-the-ghost-of-graylock,2
1,13986.Arrows_of_the_Queen,1
1,40881903-unparalleled,2
1,133237.Come_the_Spring,3
1,34649348-the-marrow-thieves,1
1,13059054-homestuck-book-one,5
2,6389874-tempest-rising,2
2,138396.The_Walking_Dead_Vol_2,4
2,1037138.The_Demon_Plague,3
2,7968653-wolf-pact,2
2,23864830-matefinder,3
2,10180109-scrivener-s-moon,2
2,10306358-we-the-animals,2
2,1087601.Where_Are_the_Children_,4
2,11700333-swimming-home,2
2,17185682-shadowed,5
2,1252410.The_Best_Awful,1
2,12663.The_Covenant,1
3,18224293-in-the-beginning,1
3,55022.The_Neon_Rain,1
3,2677410-beggars-banquet,2
3,15810152-bled-breakfast,1
3,28407.Germinal,4
3,6193923-evil-at-heart,2
3,860559.Mystery_of_the_Ivory_Charm,1
3,959304.More_List_Your_Self,1
3,24304070-area-of-influence,1
4,7739858-the-10-pm-question,1
4,24394424-trust-the-focus,1
4,47619.Drowned_Wednesday,1
4,67354.What_I_Believe,1
4,7886302-radiance,1
4,12750296-dying-to-know-you,2
4,815716.The_21_Irrefutable_Laws_of_Leadership,1
4,377327.Markheim,1
4,17166165-the-fallout,2
4,10838787-pawn,2
5,22351498-dearest-clementine,4
5,26109391-highly-illogical-behavior,2
5,11983951-shooting-stars,1
5,23007471-unlit-star,1
5,142458.Flashman,2
5,19547856-simon-vs-the-homo-sapiens-agenda,1
5,7150174-the-strange-case-of-origami-yoda,2
5,8599748-trust-in-advertising,1
5,352749.Journey_of_Hope,2
5,5303373-the-chosen-one,2
5,25664525-romancing-the-nerd,1
5,50784.The_Corset_Diaries,1
6,295621.Light_in_my_Darkness,1
6,535116.The_House_at_Maakies_Corner,1
6,79088.Here_Be_Monsters_,5
6,1507006.Legend,4
6,13449858-the-lives-we-lost,4
6,40570981-nine-notches,3
6,46438.The_Last_Templar,1
6,867247.A_Book_of_Five_Rings,1
6,40024139-serpent-dove,1
6,87564.Confessions_of_an_Heiress,1
6,11506107-loki,1
6,18170438-learning-to-trust,3
7,11476593-summoning-the-night,1
7,276796.Utz,1
7,139418.The_Silver_Kiss,1
7,352679.Knowledge_of_Angels,2
7,5075964-darkness-revealed,1
7,12958037-biting-bad,2
7,15726997-darkest-fear,3
7,12872236-canada,3
7,6304335-beautiful-creatures,2
8,648165.Zigzag_Street,1
8,12884237-the-end-of-the-world,3
8,39105.Love_Poems,1
8,503536.Seduced_by_Magic,1
8,2213336.Streams_of_Babel,1
8,12604863-the-seekers,1
8,124929.Strong_Medicine,1
8,25585034-summit-of-passion,1
9,14495.The_Mind_Parasites,2
9,18740605-annihilate-me,1
9,16161901-khost,4
9,10543382-proditor,1
9,7673.Eaters_of_the_Dead,1
9,1238661.The_Contractors,2
9,42366189-the-lost,4
9,147590.Endless_Night,1
9,6282915-angel-time,1
9,293457.Immortal,3
9,18106337-stillwell,5
9,23754479-purity,1
9,50316.Collected_Poems_1947_1997,4
9,25912332-sweet-soul,1
10,685.The_Natural,2
10,115030.Chokher_Bali,2
10,1250373.The_Hidden_Flower,2
10,13451563-the-single-woman-s-sassy-survival-guide,1
10,16705.Summerland,1
10,70105.The_Counterfeiters,1
10,363492.Sharpe_s_Devil,2
10,33363.Mama_Day,1
10,352781.Omega,2
10,31493.Standing_in_the_Rainbow,1
10,50275.Last_Exit_to_Brooklyn,1
10,80738.Courtesan,2
10,32585.Hunger,3
10,10048876-dark-souls,2
11,365089.Beyond_the_Blue_Moon,2
11,20975446-tainted-pictures,2
11,14839.Last_Man_Standing,1
11,61910.Vorkosigan_s_Game,2
11,15937108-counting-by-7s,3
11,2062048.The_Diplomat_s_Wife,4
11,13047090-onyx,4
